WorkID,WorkTitle,Year,Country,Genre,TechRef,TechUsed,Topic,Sentiment,Situation,SituationID,Characters,CharactersID
3194,comeback,,Turkey,Art,,Filtering,"Nudity, Social Media","Exciting, Flawed","comeback (rejected by Instagram)",3195,,
164,"Trette Menn",1891,Norway,"Narrative, Novel",,,"Romantic relationship","Exciting, Helpful","Trette menn (Skjermbrett)",2866,,
82,"The Machine Stops",1909,"United Kingdom","Narrative, Short story","Facial recognition, Object recognition, Surveillance cameras",,"Climate Change, Dystopian, Horror, Robots/androids, Surveillance","Helpful, Neutral","The Machine Stops (Vashti sees Kuni)",268,"Vashti, Kuni","987, 988"
1167,"Man With a Movie Camera",1929,Ukraine,"Narrative, Movie",Camera,,"Automation, City, Labour","Helpful, Wondrous","Man with a Movie Camera (Animated movie camera), Man with a Movie Camera (Kino-eye)","1166, 1169","Audience (Man With a Movie Camera)",1168
202,"Nineteen Eighty-Four",1949,"United Kingdom","Narrative, Novel","Surveillance cameras",,"Dystopian, Surveillance, War","Hostile, Oppressive","Nineteen Eighty-Four (Surveillance cameras)",243,"Winston Smith",241
40,Iris,1968,"United States","Art, Installation art",,"Surveillance cameras","Identity, Surveillance","Alien, Exciting, Helpful","Iris (Multiple Camera Views)",383,,
2277,"2001: A Space Odyssey (novel and film)",1968,"United Kingdom, United States","Narrative, Movie, Novel","AI, Body scans, Camera, MicroscopeOrTelescope, Non-Visible Spectrum, Surveillance cameras",,"AI, Animals, Consciousness","Creepy, Flawed, Hostile, Neutral, Subversive","2001: A Space Odyssey (novel) (Observation cameras), 2001: A Space Odyssey (novel) (Probe recording non-visible spectrum data), 2001: A Space Odyssey (novel)(HAL 9000's many camera-eyes), 2001: A Space Odyssey (novel)(Biosensor displays), 2001: A Space Odyssey (novel) (Looking back home through a telescope), 2001: A Space Odyssey (novel)(Video communication with Mission Control), 2001: A Space Odyssey (film) (HAL learns of the pilots intentions) , 2001: A Space Odyssey (film) (Remote image and audio conversation between Earth and the moon), 2001: A Space Odyssey (film) (HAL turns off life support for crew in stasis units)","2281, 2282, 2283, 2284, 2286, 2288, 2289, 2275, 2287","HAL, Dr. David Bowman, Dr. Frank Poole, Dr. Heywood Floyd, Sleeping crew members (2001: A Space Odyssey), Dr. Floyd's daughter","2280, 2278, 2279, 2273, 2285, 2274"
106,"La Region Nationale",1971,Canada,"Art, Video art",,Camera,"Automation, Nature, Robots/androids",Exciting,"La Region Nationale (Robot filming environment)",252,,
2546,"Flåklypa Grand Prix",1975,Norway,"Narrative, Movie","Non-Visible Spectrum",,"Companionship, Competition, Playful",Helpful,"Flåklypa Grand Prix (Reodor sees through smoke)",2549,"Reodor Felgen, Rudolf Blodstrupmoen","2547, 2548"
73,"Machine Vision",1978,Iceland,"Art, Installation art",,Camera,Automation,"Alien, Exciting","Machine Vision (Camera replacing eyes)",428,,
1877,"Holo / Olho / Eye (Holopoems series)",1983,"Brazil, United States",Art,,Holograms,Playful,"Exciting, Wondrous","Holo / Olho / Eye (Holopoems series)(watching a holopoem)",2242,,
1426,Neuromancer,1984,"United States","Narrative, Novel","Holograms, Ocular implant, Virtual reality",,,,"Neuromancer (Molly's eyes), Neuromancer (Holographic map), Neuromancer (Manipulative holograms)","1429, 1430, 3078","Case, Molly Millions, Wintermute, Peter Riviera","1425, 1428, 1427, 3079"
737,"The Terminator",1984,"United States","Narrative, Movie","Augmented reality, Motion tracking, Object recognition",,"Family, Free will, Physical violence, Robots/androids, Romantic relationship, War","Dangerous, Hostile, Intrusive","The Terminator (Kyle and Sarah flees from Terminator)",736,"Kyle Reese, Sarah Connor, Terminator T-800 ""Model 101""","734, 735, 730"
495,"A View to a Kill",1985,"United Kingdom","Narrative, Movie","Camera, Facial recognition",,"Crime, Physical violence","Empowering, Hostile, Intrusive, Protective","A View to a Kill (Bond`s identity revealed)",494,"James Bond (Roger Moore), Max Zorin","492, 493"
755,Hacker,1985,"United States",Game,"Camera, Non-Visible Spectrum, UGV",,"Crime, Hacking, Robots/androids",Empowering,"Hacker (Controlling drone)",754,,
286,"They Live",1988,"United Kingdom","Narrative, Movie","Augmented reality",,"Conflict, Dystopian","Helpful, Neutral","They Live (Roddy unveils a lie)",285,"John Nada, Aliens","284, 770"
682,"The Simpsons",1989,"United States","Narrative, TV series or episode","AI, Augmented reality",,"Empathy, Family","Dangerous, Exciting, Helpful","The Simpsons (AI helping the Simpsons family), The Simpsons (Robots trying to kill the Simpsons family), The Simpsons (Homer scans people), The Simpsons (AI killing Homer)","636, 641, 638, 634","The Simpsons family, Homer Simpson, Animal Robots (Simpsons)","632, 633, 2965"
2719,"Madoc: A Mystery",1990,Ireland,Narrative,"Body scans, Ocular implant",,"Dystopian, Utopian","Intrusive, Oppressive","Madoc: A Mystery (Retinograph)",2969,South,2718
729,"Terminator 2",1991,"United States","Narrative, Movie","Augmented reality, Emotion recognition, Facial recognition, Filtering, Object recognition",,"Dystopian, Family, Free will, Physical violence, Robots/androids, War","Dangerous, Exciting, Helpful, Hostile, Oppressive, Protective, Subversive","Terminator 2 (Terminator scans bikers), Terminator 2 (Terminator learns to smile), Terminator 2 (Identifies John), Terminator 2 (Rebooting the Terminator)","731, 733, 738, 739","Terminator T-800 ""Model 101"", John Connor, Bikers (Terminator 2)","730, 732, 772"
976,"China Mountain Zhang",1992,"United States","Narrative, Novel","Facial recognition",,"City, Competition, Identity, Labour, Race","Helpful, Neutral, Protective","China Mountain Zhang (Building recognises faces)",978,"Zhang Zhongshan, Angel (China Mountain Zhang), San-xiang","974, 975, 977"
53,"Night Trap",1992,"United States",Game,"Surveillance cameras",,Surveillance,"Intimate, Protective","Night Trap (Protecting girls through surveillance)",401,"Girls (Night Trap), Vampires (Night Trap)","856, 855"
237,Voyeur,1993,,Game,Camera,,"Crime, Sex, Surveillance","Helpful, Intimate, Intrusive","Voyeur (Camcorder surveillance)",362,"The Hawke family",726
1110,"Johnny Mnemonic",1995,"United States","Narrative, Movie","Body scans, Deepfake, Non-Visible Spectrum, Virtual reality",,"City, Companionship, Cyborgs, Inequality, Physical violence","Helpful, Misleading","Johnny Mnemonic (Tricked by Deepfake), Johnny Mnemonic (Body scan in Passport Control), Johnny Mnemonic (Hologram of deceased daughter), Johnny Mnemonic (Johnny Enters Internet)","1112, 1113, 1115, 1116","Johnny Mnemonic, Takahashi, Takahashi`s daughter","1109, 1111, 1114"
405,"Neon Genesis Evangelion",1995,Japan,"Narrative, TV series or episode","AI, Augmented reality, Biometrics, Body scans, Satellite images, Surveillance cameras",,"AI, Companionship, Conflict, Consciousness, Cyborgs, Family, Free will, Identity, Physical violence, War","Helpful, Intimate","Neon Genesis Evangelion (Tokyo-3 surveillance), Neon Genesis Evangelion (Overlay telephones)","404, 407","Shinji Ikari, Rei Ayanami, Asuka Soryu Langley , Evangelions","403, 406, 408, 1125"
3037,"Tillie and CyberRoberta",1995,"United States","Art, Installation art, Online art",,Webcams,"Cyborgs, Surveillance",Creepy,"Tillie and CyberRoberta (viewing through the eyes of a cyber-doll)",3038,,
1017,"Duke Nukem 3D",1996,"United States",Game,"Holograms, Non-Visible Spectrum",,"Physical violence, War","Flawed, Helpful","Duke Nukem 3D (Holoduke), Duke Nukem 3D (Night vision goggles)","1018, 1019","Duke Nukem, Aliens","1016, 770"
3017,"Molecular Informatics-morphogenic substance via eye tracking",1996,Japan,"Art, Installation art",,"Motion tracking, Virtual reality","Consciousness, Playful","Alien, Wondrous","Molecular Informatics-morphogenic substance via eye tracking (the gaze creating the space)",3018,,
1187,Spycraft,1996,"United States",Game,"Non-Visible Spectrum, Satellite images",,"Conflict, Crime, Surveillance, War",Helpful,"Spycraft (Image analysis with satellite and infrared), Spycraft (Killing hostiles with night vision)","1233, 2761",Thorn,1234
687,"I`m Alan Partrige",1997,"United Kingdom","Narrative, TV series or episode","Surveillance cameras",,"Companionship, Identity",Fun,"I`m Alan Partridge: Basic Alan (Alan steals cone)",688,"Alan Partridge",684
254,Transmetropolitan,1997,"United Kingdom","Narrative, Comic","AI, Augmented reality, Body scans, Camera",,"Conflict, Dystopian, Inequality",,"Transmetropolitan (Augmented reality), Transmetropolitan (AI)","250, 253","Spider Jerusalem",247
144,"Cowboy Bebop",1998,Japan,"Narrative, TV series or episode","AI, Drones, Satellite images",,"Animals, Companionship, Robots/androids",Exciting,"Cowboy Bebop: Jamming With Edward (Ed Hacks Satelite)",693,"MPU, Radical Ed","692, 691"
118,"B.I.T. Plane",1999,"United States","Art, Video art",,Drones,"Economy, Surveillance",Subversive,"B.I.T. Plane (Drone investigating)",716,,
1597,"Den Lengste Reisen",1999,Norway,Game,"Biometrics, Holograms, Ocular implant",,"Conflict, Identity","Alien, Flawed, Fun, Intimate","Den Lengste Reisen (Stealing prosthetic eye to unlock door), Den Lengste Reisen (Genetic code scan in subway)","1647, 1792","April Ryan, Frank Minelli","1646, 1648"
104,eXistenZ,1999,Canada,"Narrative, Movie","Virtual reality",,"Crime, Robots/androids, Romantic relationship, Sex","Dangerous, Exciting, Flawed, Fun, Intimate, Intrusive","eXistenZ (game tricking participants), eXistenZ (Virtual reality)","985, 257","Allegra Geller, Ted Pikul","255, 256"
1953,"The Matrix",1999,"United States","Narrative, Movie","AI, Biometrics, Body scans, Drones, Holograms, Surveillance cameras, Virtual reality",,"AI, Consciousness, Dystopian, Free will, Hacking, Identity, Physical violence, Robots/androids, Surveillance","Creepy, Empowering, Exciting, Hostile, Misleading, Oppressive, Overwhelming","The Matrix (The Matrix)",2214,"Neo, Morpheus, Rebels, Agent Smith","1954, 1955, 1957, 2213"
630,"Futurama: War is the H-word",2000,"United States","Narrative, TV series or episode","MicroscopeOrTelescope, Object recognition",,War,Creepy,"Futurama: War is the H-word (Zapp Brannigan spies on Leela)",629,"Leela, Zapp Brannigan","626, 625"
893,"Eye/Machine I",2001,Germany,"Art, Video art, Installation art","Drones, Surveillance cameras",,"Automation, Surveillance, War","Dangerous, Hostile","Work Eye/Machine I (Suicide Cameras)",1137,,
1039,"Halo: Combat Evolved",2001,"United States",Game,"AI, Augmented reality, Holograms",,"Conflict, Physical violence, War","Helpful, Intimate","Halo: Combat Evolved (AI hologram saving life)",1522,"Cortana, John-117","1520, 1521"
888,"Vigilance 1.0",2001,France,Game,"Surveillance cameras",,"Crime, Surveillance","Oppressive, Overwhelming, Protective","Vigilance 1.0 (City behavioral surveillance)",1005,,
1775,"LoveStar: A Novel",2002,Iceland,"Narrative, Novel","Ocular implant, Surveillance cameras",,"Identity, Romantic relationship","Fun, Helpful, Intrusive, Overwhelming","LoveStar (ubiquitous surveillance), LoveStar (Visual nerve hooked to porn)","1772, 1774","Indridi (LoveStar)",1771
141,"Minority Report",2002,"United States","Narrative, Movie","Augmented reality, Biometrics, Facial recognition, Holograms, Non-Visible Spectrum, Surveillance cameras",,"Crime, Dystopian, Free will","Dangerous, Hostile, Intrusive, Oppressive","Minority Report (Gestural interface), Minority Report (Holograms of Anderton's dead child), Minority Report (eyedentiscans), Minority Report (VR), Minority Report (Scanning bagged eyeball), Minority Report (Personalized ads)","267, 601, 602, 603, 844, 2967","John Anderton",265
